period,lower,upper,base,marginal_rate,effective_from,ato_source,version
weekly,1,3,0,0,2024-07-01,ATO PAYG weekly 2024-07-01 (normalized curve),
weekly,4,4,0,1.4925373134,2024-07-01,ATO PAYG weekly 2024-07-01 (normalized curve),
weekly,5,9,1,0,2024-07-01,ATO PAYG weekly 2024-07-01 (normalized curve),
weekly,10,10,1,1,2024-07-01,ATO PAYG weekly 2024-07-01 (normalized curve),
weekly,11,15,2,0,2024-07-01,ATO PAYG weekly 2024-07-01 (normalized curve),
weekly,16,16,2,1,2024-07-01,ATO PAYG weekly 2024-07-01 (normalized curve),
weekly,17,21,3,0,2024-07-01,ATO PAYG weekly 2024-07-01 (normalized curve),
weekly,22,22,3,1,2024-07-01,ATO PAYG weekly 2024-07-01 (normalized curve),
weekly,23,27,4,0,2024-07-01,ATO PAYG weekly 2024-07-01 (normalized curve),
weekly,28,28,4,1,2024-07-01,ATO PAYG weekly 2024-07-01 (normalized curve),
weekly,29,34,5,0,2024-07-01,ATO PAYG weekly 2024-07-01 (normalized curve),
weekly,35,34,5,3.0303030303,2024-07-01,ATO PAYG weekly 2024-07-01 (normalized curve),
weekly,35,39,6,0,2024-07-01,ATO PAYG weekly 2024-07-01 (normalized curve),
weekly,40,40,6,1,2024-07-01,ATO PAYG weekly 2024-07-01 (normalized curve),
weekly,41,177,7,0,2024-07-01,ATO PAYG weekly 2024-07-01 (normalized curve),
weekly,178,180,7,7.2072072072,2024-07-01,ATO PAYG weekly 2024-07-01 (normalized curve),
weekly,181,183,31,0,2024-07-01,ATO PAYG weekly 2024-07-01 (normalized curve),
weekly,184,184,31,1,2024-07-01,ATO PAYG weekly 2024-07-01 (normalized curve),
weekly,185,188,32,0,2024-07-01,ATO PAYG weekly 2024-07-01 (normalized curve),
weekly,189,189,32,1,2024-07-01,ATO PAYG weekly 2024-07-01 (normalized curve),
weekly,190,192,33,0,2024-07-01,ATO PAYG weekly 2024-07-01 (normalized curve),
weekly,193,193,33,1,2024-07-01,ATO PAYG weekly 2024-07-01 (normalized curve),
weekly,194,197,34,0,2024-07-01,ATO PAYG weekly 2024-07-01 (normalized curve),
weekly,198,198,34,1,2024-07-01,ATO PAYG weekly 2024-07-01 (normalized curve),
weekly,199,202,35,0,2024-07-01,ATO PAYG weekly 2024-07-01 (normalized curve),
weekly,203,203,35,1,2024-07-01,ATO PAYG weekly 2024-07-01 (normalized curve),
weekly,204,207,36,0,2024-07-01,ATO PAYG weekly 2024-07-01 (normalized curve),
weekly,208,208,36,1,2024-07-01,ATO PAYG weekly 2024-07-01 (normalized curve),
weekly,209,211,37,0,2024-07-01,ATO PAYG weekly 2024-07-01 (normalized curve),
weekly,212,212,37,1,2024-07-01,ATO PAYG weekly 2024-07-01 (normalized curve),
weekly,213,216,38,0,2024-07-01,ATO PAYG weekly 2024-07-01 (normalized curve),
weekly,217,217,38,1,2024-07-01,ATO PAYG weekly 2024-07-01 (normalized curve),
weekly,218,221,39,0,2024-07-01,ATO PAYG weekly 2024-07-01 (normalized curve),
weekly,222,222,39,1,2024-07-01,ATO PAYG weekly 2024-07-01 (normalized curve),
weekly,223,225,40,0,2024-07-01,ATO PAYG weekly 2024-07-01 (normalized curve),
weekly,226,226,40,1,2024-07-01,ATO PAYG weekly 2024-07-01 (normalized curve),
weekly,227,230,41,0,2024-07-01,ATO PAYG weekly 2024-07-01 (normalized curve),
weekly,231,231,41,1,2024-07-01,ATO PAYG weekly 2024-07-01 (normalized curve),
weekly,232,235,42,0,2024-07-01,ATO PAYG weekly 2024-07-01 (normalized curve),
weekly,236,236,42,1,2024-07-01,ATO PAYG weekly 2024-07-01 (normalized curve),
